organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_08007,-1.18127666261138,8.71294701033326,16.295546860245,5.43229840813628E-05,0.00040559305611,,1
1276135,infect48hXinfect144h,MAN_08358,-1.18291548882167,7.72683217079215,12.598244211278,0.000386687883855,0.002307682695982,,1
1276135,infect48hXinfect144h,MAN_00353,-1.18912156325689,8.10793438488269,14.2807164596465,0.000157768368646,0.001046896286157,,1
1276135,infect48hXinfect144h,MAN_05368,-1.19384735123748,8.48490880665547,15.8538819187468,6.85840401325406E-05,0.000499278105148,,1
1276135,infect48hXinfect144h,MAN_07917,-1.19420767519841,7.51853612358858,11.8825461399471,0.000567385621335,0.003211301860153,,1
1276135,infect48hXinfect144h,MAN_04961,-1.20143647940256,7.1582367630484,10.5970567514042,0.001133908981103,0.005897367515688,,1
1276135,infect48hXinfect144h,MAN_02353,-1.20351818960182,6.9758704310492,9.83274557668815,0.00171594536168,0.008426060059593,,1
1276135,infect48hXinfect144h,MAN_05018,-1.20433921908677,7.02688217491952,9.99091662309675,0.001574676191291,0.007830386384677,,1
1276135,infect48hXinfect144h,MAN_05826,-1.20777928482136,6.92711160695963,9.71418590453662,0.001830203247184,0.008914144525127,,1
1276135,infect48hXinfect144h,MAN_01340,-1.21194273887671,7.97187672948246,14.2426725753713,0.000160988296055,0.001064798723388,,1
1276135,infect48hXinfect144h,MAN_03645,-1.21802191531508,9.09158664366681,18.5191366212013,1.68728834820294E-05,0.000144126079257,,1
1276135,infect48hXinfect144h,MAN_02863,-1.2276885839022,8.12725968781264,15.292972674592,9.22569305017423E-05,0.00065116154615,,1
1276135,infect48hXinfect144h,MAN_02330,-1.23475761496405,7.7083653554916,13.6536914308692,0.000220191728032,0.001400957850405,,1
1276135,infect48hXinfect144h,MAN_09449,-1.23604748477034,8.48227075863135,16.9148980050602,3.91956309200583E-05,0.000303535489562,,1
1276135,infect48hXinfect144h,MAN_03227,-1.24106171299854,6.9162180409772,10.1582423959071,0.001438018899818,0.007224805300121,,1
1276135,infect48hXinfect144h,MAN_00083,-1.24360547838561,6.82534305429399,9.79995910880777,0.001746799289794,0.008552859316661,,1
1276135,infect48hXinfect144h,MAN_02363,-1.24419676483323,7.03319918307652,10.7297707906884,0.00105542721217,0.005557202961755,,1
1276135,infect48hXinfect144h,MAN_00546,-1.25336037656805,9.02921004562037,19.3928934664962,1.06762796191082E-05,9.41932316914225E-05,,1
1276135,infect48hXinfect144h,MAN_01751,-1.26017231638382,8.05241969137747,15.7567987831278,7.21930231732935E-05,0.000522566815716,,1
1276135,infect48hXinfect144h,MAN_04914,-1.26697306678768,9.03018142748126,19.785835500138,8.69272253015998E-06,7.83189726900191E-05,,1
1276135,infect48hXinfect144h,MAN_00332,-1.27111416567611,7.16412767161384,11.8025562593182,0.000592279326925,0.003331857063049,,1
1276135,infect48hXinfect144h,MAN_03274,-1.27487235796411,7.38389288211892,12.9541160332079,0.000319722822803,0.001944456213339,,1
1276135,infect48hXinfect144h,MAN_00333,-1.27540544629765,7.62882577025494,13.9808612005518,0.000185017411813,0.001201906103874,,1
1276135,infect48hXinfect144h,MAN_04719,-1.27615891072377,7.14715754827085,11.8493861817108,0.000577574545965,0.003261729121982,,1
1276135,infect48hXinfect144h,MAN_10682,-1.28317105008375,8.38185118702341,17.805336308032,2.45400433384745E-05,0.000201679211933,,1
1276135,infect48hXinfect144h,MAN_03093,-1.28775315971579,8.36472329913812,17.7004895537261,2.59296067333953E-05,0.000211564847259,,1
1276135,infect48hXinfect144h,MAN_03951,-1.28850040316413,10.4500231000983,23.7288995709724,1.11458272100464E-06,1.18536279160858E-05,,1
1276135,infect48hXinfect144h,MAN_02643,-1.29584994568754,7.19710594267331,12.4918640499203,0.000409331020387,0.002424371124812,,1
1276135,infect48hXinfect144h,MAN_07047,-1.29857202384945,8.89698882433588,20.3272341076555,6.55069745451758E-06,6.04620482702486E-05,,1
1276135,infect48hXinfect144h,MAN_07451,-1.29891694131817,8.26398605266876,17.640658156855,2.67577288034987E-05,0.00021745185344,,1
1276135,infect48hXinfect144h,MAN_01085,-1.29955273950114,8.12162791814944,17.0356464478447,3.67817145577913E-05,0.000286801763589,,1
1276135,infect48hXinfect144h,MAN_02102,-1.30025027767133,7.05415608220158,11.8161017645711,0.000587987543047,0.003311366621499,,1
1276135,infect48hXinfect144h,MAN_04916,-1.30638825839678,6.8943207622156,11.1282740394668,0.000851228019998,0.004593478611617,,1
1276135,infect48hXinfect144h,MAN_01893,-1.31261850878503,6.93878858142874,11.4630514110817,0.000710828545755,0.003931529467546,,1
1276135,infect48hXinfect144h,MAN_07484,-1.31415507384987,6.62099549679726,9.9786664912171,0.001585183500702,0.00787367429978,,1
1276135,infect48hXinfect144h,MAN_06624,-1.31445088021032,7.01540671433764,11.6580274538425,0.000640089853069,0.00357322190008,,1
1276135,infect48hXinfect144h,MAN_10333,-1.31824342746592,7.94251743372541,16.5243472361187,4.81493372016609E-05,0.000364569480416,,1
1276135,infect48hXinfect144h,MAN_08330,-1.32089911494405,9.14542569673157,21.9084602551545,2.87194628532303E-06,2.84931713657681E-05,,1
1276135,infect48hXinfect144h,MAN_05724,-1.32289485524524,8.11320362305876,17.5946391776382,2.74127154520257E-05,0.000221013663949,,1
1276135,infect48hXinfect144h,MAN_10382,-1.3260053038449,6.69863645639143,10.4850022194461,0.001204756955122,0.006215132111931,,1
1276135,infect48hXinfect144h,MAN_02296,-1.33016908445228,8.0670323706864,17.5219004780115,2.8481025210511E-05,0.000228004690834,,1
